"type","request_number","date","year","month","block","description","lon","lat"
"Animal Bite","11-00418949","Mar 14, 2011",2011,3,"1000 E OHIO ST","on duty chicago police was walking to guard area raccoon ran up and bite on rear left of calf leaving to punture marks - dna - dna - Human - Male - 57 years - two puncture marks on the rear of left leg calf - MAR 14, 2011 - 8:55 AM - 8:55 PM - 1000 e ohio st - Racoon - none - none - Unknown - DNA - Female - Black/Tan - Small - 12618 - dna - dna - none -  12618 - OB",-87.6113993,41.8924746
"Animal - Inhumane Treatment","12-00800059","Apr 22, 2012",2012,4,"6300 S LOCKWOOD AVE","Providing no food or water - TRAPPING RACCOONS, SQUIRRELS AND OPPOSSUM - Yard AND SIDE DRIVEWAY",-87.7544141,41.777198
"Animal - Inhumane Treatment","12-01044394","Jun 07, 2012",2012,6,"12200 S WALLACE ST","Other - caller states that there is squirrels and raccoons in cages in the front and backyard at this address - Yard",-87.6369313,41.6723797
"Animal - Inhumane Treatment","12-01096882","Jun 18, 2012",2012,6,"4300 W 25TH PL","Other - CALLER STATES WOMAN IS HOUSING RACCOONS IN BASEMENT, FEEDING THEM, RACCOONS COME OUT AT NIGHT, CALLER STATES RACCOON KILLED HER CAT - Basement",-87.7310711,41.8450756
"Animal - Inhumane Treatment","12-01116418","Jun 20, 2012",2012,6,"3600 N NEWCASTLE AVE","Other - OPUSSOMS & RACCOONS ARE BEING TRAP IN CAGES IN THE BACKYARD AND ROTTEN IN THE CAGES - Yard",-87.7971898,41.9454775
"Animal - Inhumane Treatment","12-01456219","Aug 15, 2012",2012,8,"11200 S AVENUE G ","RACCOON IN GARBAGE CAN - Raccoon - Other - RACOON IS STUCK IN THE GARBAGE CAN AND IT CAN'T GET OUT.  OWNER OF HOME IS WORRIED - Other",-87.53073,41.690005
"Animal - Inhumane Treatment","12-01973870","Dec 07, 2012",2012,12,"4000 N HERMITAGE AVE","Other - CALLER STATED THAT THE OWNER OF THE PROPERTY IS SETTING TRAPS TO CATCH RACCOONS THAT ARE HANGING AROUND HIS HOUSE AND THE NEIGHBORHOOD. ONCE THE ANIMALS ARE TRAPPED HE KEEPS THEM IN THE CAGE TILL THEY DIE. - Yard",-87.6724596,41.9544397
"Animal - Inhumane Treatment","13-00691016","Jun 04, 2013",2013,6,"3700 N FRANCISCO AVE","Other - caller states that there is a cage of 7 raccoons on the porch of this location.. - Yard",-87.7005265,41.9485226
"Animal - Inhumane Treatment","13-00926572","Jul 12, 2013",2013,7,"3800 N MONTICELLO AVE","Other - 2 raccoon trapped in cage - Yard",-87.7192065,41.9502853
"Animal - Inhumane Treatment","13-01749994","Nov 21, 2013",2013,11,"6100 N HOYNE AVE","ENCLOSED Back PORCH 3RD FL - KITTENS - TAIL - Living outside for long periods - RACCOON AND OPOSSUM ARE AROUND THE KITTEN,",-87.6825564,41.9919738
"Animal In Trap","11-00037950","Jan 07, 2011",2011,1,"1100 W 104TH ST","Raccoon - Inside the House",-87.6502612,41.7054329
"Animal In Trap","11-00118657","Jan 25, 2011",2011,1,"8500 S CONSTANCE AVE","Racoons living between the ceilings and her roof - Raccoon - Inside the House",-87.5797685,41.7405113
"Animal In Trap","11-00124083","Jan 25, 2011",2011,1,"3800 N CLAREMONT AVE","Raccoon - Backyard on side of garage, enter on neighbors' property its on south side of garage. clearly visible 6 ft high on top of air conditioner",-87.6872994,41.9507093
"Animal In Trap","11-00149715","Jan 31, 2011",2011,1,"7000 S LOOMIS BLVD","Raccoon - Backyard -IN ALLEY -AROUND SCHOOLS",-87.659361,41.766659
"Animal In Trap","11-00245468","Feb 14, 2011",2011,2,"6400 S WASHTENAW AVE","Raccoon - Inside the House - IN ATTIC - PLEASE COME AFTER 6:00 PM WHEN CALLER WILL BE HOME",-87.6908981,41.7772559
"Animal In Trap","11-00292515","Feb 19, 2011",2011,2,"2000 W 80TH ST","Raccoon - Other",-87.6732733,41.7486176
"Animal In Trap","11-00391488","Mar 09, 2011",2011,3,"3800 N PITTSBURGH AVE","Per caller he has raccoon under his back porch try to get into the house he is looking for the city to help him get rid of this animal - Raccoon - Backyard",-87.8328836,41.9485064
"Animal In Trap","11-00412564","Mar 14, 2011",2011,3,"4000 S ARTESIAN AVE","Raccoon",-87.6862818,41.8209985
"Animal In Trap","11-00444073","Mar 18, 2011",2011,3,"8500 S KEDZIE AVE","Raccoon - on top of the entrance to the building - Porch",-87.7020775,41.7388473
"Animal In Trap","11-00488228","Mar 26, 2011",2011,3,"2000 S JEFFERSON ST","Raccoon - Other raccoon is confined on the back dock, trucking dock and is is under empty cardboard bin with pallets on top, corner of the dock , dock is on lumber street back of the building",-87.6421744,41.8550346
"Animal In Trap","11-00515074","Mar 29, 2011",2011,3,"0 N WABASH AVE","Raccoon - Other - at els station wabash and madision in coustomer service booth",-87.6258989,41.8834205
"Animal In Trap","11-00517206","Mar 29, 2011",2011,3,"3100 W 84TH PL","Raccoon - TRAPPED INSIDE OF GARBAGE CART ON  Side of House",-87.6994982,41.7400492
"Animal In Trap","11-00628011","Apr 05, 2011",2011,4,"900 N DEARBORN ST","Raccoon - Inside the House",-87.6299194,41.899338
"Animal In Trap","11-00694509","Apr 08, 2011",2011,4,"2600 S INDIANA AVE","Raccoon - Other--inside the garbage cart in the garage",-87.6225089,41.845187
"Animal In Trap","11-01062790","Apr 23, 2011",2011,4,"3500 W LAWRENCE AVE","THE CALLER HAS TWO RACCOON IN A BOX AND THIS IS A STORE",-87.7161516,41.9685483
"Animal In Trap","11-01127558","Apr 25, 2011",2011,4,"1000 W MAXWELL ST","Raccoon - Other - pls cpme btwn 9-6pm mon-fri",-87.6519578,41.8648548
"Animal In Trap","11-01370277","May 03, 2011",2011,5,"4600 W DICKENS AVE","Raccoon - Other FRONT YARD",-87.7417036,41.9188071
"Animal In Trap","11-01372436","May 03, 2011",2011,5,"4600 W DICKENS AVE","original request entered under wrong address of 4612 w. dickens - Raccoon - Backyard / please call first before coming",-87.7417036,41.9188071
"Animal In Trap","11-01452842","May 06, 2011",2011,5,"3100 S GILES AVE","Raccoon - Backyard - Porch - on the back porch - rear gate unlocked - on the back porch 2nd floor",-87.6196977,41.8382341
"Animal In Trap","11-01498191","May 07, 2011",2011,5,"3000 N ROCKWELL ST","A FAMILY OF RaccoonS - Other inside a box in the warehouse...need to call before coming at caller states he would like someone to call him, sTATES HIS NERVOUS BEING BY THE RACCOONS.",-87.6931352,41.9362034
"Animal In Trap","11-01622126","May 11, 2011",2011,5,"0 E BELLEVUE PL","Raccoon - Other / ON DECK BY ALLEY",-87.6253818,41.9017533
"Animal In Trap","11-01622975","May 11, 2011",2011,5,"0 E BELLEVUE PL","Raccoon - Backyard",-87.6253818,41.9017533
"Animal In Trap","11-01758781","May 15, 2011",2011,5,"6000 N MAPLEWOOD AVE","Raccoon - Backyard - has trapped a raccoon in the  garage - trap belongs to home owner - do not take trap needs to trap a cat",-87.6933058,41.9905189
"Animal In Trap","11-01829825","May 17, 2011",2011,5,"300 S KILBOURN AVE","Raccoon - Porch",-87.7377893,41.8769344
"Animal In Trap","11-01899580","May 19, 2011",2011,5,"6900 N OZARK AVE","Raccoon - Backyard - personal trap, under the bird feeder... caller requesting you leave the trap and take the animal",-87.820453,41.9451901
"Animal In Trap","11-01957785","May 20, 2011",2011,5,"4700 N MAGNOLIA AVE","Raccoon - Backyard. CALLER HAS RACCOON IN HIS OWN TRAP WOULD LIKE ACC TO PICK IT UP",-87.6611408,41.9671816
"Animal In Trap","11-01977847","May 21, 2011",2011,5,"100 S HAMLIN BLVD","Raccoon - Backyard---LARGE IN DOG CAGE---CALL FIRST OR RING BELL",-87.7210156,41.8796679
"Animal In Trap","11-02066171","May 23, 2011",2011,5,"2200 W 110TH PL","Raccoon - Backyard - caller states that raccoon went into city black garbage cart - he has placed bricks ontop of black cart - need ACC to remove from cart",-87.677566,41.693768
"Animal In Trap","11-02125743","May 25, 2011",2011,5,"100 W RANDOLPH ST","Raccoon - Inside the House bldg is under construction",-87.6316709,41.8851523
"Animal In Trap","11-02192429","May 27, 2011",2011,5,"300 S KILBOURN AVE","Raccoon - Backyard",-87.7377893,41.8769344
"Animal In Trap","11-02232295","May 28, 2011",2011,5,"800 W 50TH ST","Raccoon - Other - LOCKED INSIDE GARBAGE CART ROCKS ON TOP OF IT-LOCATED IN REAR",-87.6457103,41.8034766
"Animal In Trap","11-02425315","Jun 02, 2011",2011,6,"8400 S WOLCOTT AVE","Raccoon - Inside the House",-87.6708079,41.7409889
"Animal In Trap","11-02456549","Jun 03, 2011",2011,6,"1400 S MUSEUM CAMPUS DR","SOLDIER FIELD - Raccoon - Other - NOW IN LOADING DOCK",-87.6148243,41.8619252
"Animal In Trap","11-02543779","Jun 05, 2011",2011,6,"10400 S WOOD ST","Raccoon - Other in the garage",-87.666154,41.704802
"Animal In Trap","11-02609161","Jun 07, 2011",2011,6,"1000 W COLUMBIA AVE","IN THE BACKYARD IN THE FLOWER POT WITH  BARQ GRILL RACK TRAP WITH SOME WEIGHTS ON TOP - Raccoon - Backyard",-87.6577524,42.0046442
"Animal In Trap","11-02662488","Jun 08, 2011",2011,6,"2000 N SAYRE AVE","Raccoon - Inside the House",-87.8009429,41.9163932
"Animal In Trap","11-02785266","Jun 11, 2011",2011,6,"6500 N MINNEHAHA AVE","Raccoon - Backyard - RACCOON HAS BEEN INSIDE GARBAGE CART 2 DAYS AND WAS HISSING AT CALLER.",-87.7608779,41.998917
"Animal In Trap","11-02801926","Jun 11, 2011",2011,6,"12300 S PERRY AVE","Raccoon - Backyard - caller has 3 baby raccoons inside container - in backyard-  need ACC to remove - came from inside home",-87.6248454,41.6707043
"Animal In Trap","11-02959855","Jun 15, 2011",2011,6,"4300 W GLADYS AVE","Raccoon - Porch",-87.733018,41.876335
"Animal In Trap","11-03010434","Jun 16, 2011",2011,6,"300 W MONTROSE DR","Raccoon - ON MONTROSE HARBOR.. WILD RACOON IN TRAP ... GATE CODE 435.",-87.7384251,41.9608288
"Animal In Trap","11-03023262","Jun 17, 2011",2011,6,"8400 S ROCKWELL ST","Raccoon - Backyard (IN THE REAR  NEAR THE GARAGE) - THERE IS A RACCOON IN A TRAP BEHIND THE GARAGE ;  THE OWNERS ARE NOT AT HOME",-87.6876909,41.741396
"Animal In Trap","11-03192956","Jun 21, 2011",2011,6,"2300 N STOCKTON DR","Raccoon - Other - at the lincoln park conservatory",-87.6368453,41.924093
"Animal In Trap","11-03258999","Jun 28, 2011",2011,6,"2800 W 23RD PL","Raccoon - Other - `",-87.6953464,41.8491824
"Animal In Trap","11-03275817","Jun 30, 2011",2011,6,"2600 W 103RD PL","Raccoon - Other---the trap is in the front yard by the bushes",-87.6867535,41.7056556
"Animal In Trap","11-03290492","Jul 01, 2011",2011,7,"3000 N SHERIDAN RD","Raccoon - Other - inside basement -[caller has raccoon trapped in his own trap] - janitor on site - on Wellington St entrance",-87.6397065,41.9368705
"Animal In Trap","11-03291301","Jul 02, 2011",2011,7,"3000 N SHERIDAN RD","Raccoon - Inside the House",-87.6397065,41.9368705
"Animal In Trap","11-03306007","Jul 05, 2011",2011,7,"4500 W 65TH PL","Raccoon - Backyard",-87.7349989,41.7741897
"Animal In Trap","11-03344571","Jul 11, 2011",2011,7,"100 S MAYFIELD AVE","Raccoon - Backyard",-87.7715401,41.8791888
"Animal In Trap","11-03363187","Jul 13, 2011",2011,7,"2200 W 91ST ST","Raccoon - Backyard.UNSURE WHO SET THE TRAP OR WHO THE TRAP BELONG TO.ALSO ONE IS IN DISTRESS HOVERING AROUND THE CAGE.",-87.6772955,41.7283116
"Animal In Trap","11-03387995","Jul 16, 2011",2011,7,"9000 S EUCLID AVE","Raccoon - Backyard in a milk crate trapped with a rock on top",-87.5770636,41.7313601
"Animal In Trap","11-03394314","Jul 18, 2011",2011,7,"8200 S ANTHONY AVE","Raccoon - Backyard",-87.5815025,41.7459125
"Animal In Trap","11-03413306","Jul 20, 2011",2011,7,"1800 S KEDZIE AVE","Raccoon - Side of House- BABY RACCOON IS INSIDE CALLER'S GARBAGE CART- ANIMAL IS ALIVE",-87.7054162,41.8578596
"Animal In Trap","11-03434201","Jul 22, 2011",2011,7,"4400 N HERMITAGE AVE","Raccoon - Side of House",-87.67261,41.9616973
"Animal In Trap","11-03434246","Jul 22, 2011",2011,7,"2600 E 81ST ST","Raccoon - Backyard",-87.5613263,41.748144
"Animal In Trap","11-03445333","Jul 23, 2011",2011,7,"0 E 123RD ST","Raccoon - Other - raccoon trapped in garbage cart in alley - been there 2 days",-87.6196748,41.670773
"Animal In Trap","11-03446784","Jul 24, 2011",2011,7,"3700 S PAULINA ST","Raccoon - Backyard",-87.6681113,41.8266892
"Animal In Trap","11-03447030","Jul 24, 2011",2011,7,"3700 S PAULINA ST","Backyard - Raccoon",-87.6681113,41.8266892
"Animal In Trap","11-03447070","Jul 24, 2011",2011,7,"3700 S PAULINA ST","Raccoon - Backyard",-87.6681113,41.8266892
"Animal In Trap","11-03447130","Jul 24, 2011",2011,7,"3700 S PAULINA ST","Raccoon - Backyard",-87.6681113,41.8266892
"Animal In Trap","11-03473911","Jul 27, 2011",2011,7,"2200 W 81ST ST","Raccoon - Other - RACCOONN IS STUCK IN GARBAGE CART IN ALLEY",-87.678271,41.745895
"Animal In Trap","11-03493371","Jul 29, 2011",2011,7,"1000 W LOYOLA AVE","Other - Raccoon - raccoon trapped inside metal dumpster, in the alley behind address",-87.656396,42.001773
"Animal In Trap","11-03495043","Jul 30, 2011",2011,7,"10200 S HOYNE AVE","Raccoon - Backyard",-87.6756615,41.708155
"Animal In Trap","11-03527938","Aug 04, 2011",2011,8,"9100 S BRANDON AVE","Raccoon - Inside the House ENCLOSED BACK PORCH",-87.5469244,41.7301164
"Animal In Trap","11-03558877","Aug 09, 2011",2011,8,"4600 N FORESTVIEW AVE","Raccoon - Backyard- BABY RACCOON IS INSIDE CALLER'S GARBAGE CART- ALIVE",-87.84586,41.9628885
"Animal In Trap","11-03569891","Aug 10, 2011",2011,8,"9200 S WESTERN AVE","Raccoon - SERVICE DEPT - PLS PICKUP ASAP",-87.6855404,41.7246667
"Animal In Trap","11-03570131","Aug 10, 2011",2011,8,"9200 S WESTERN AVE","Raccoon - Backyard",-87.6855404,41.7246667
"Animal In Trap","11-03576078","Aug 11, 2011",2011,8,"7400 S CAMPBELL AVE","Raccoon - INSIDE GARBAGE CART-CALLER PLACED BRICK OVER CART",-87.6858292,41.7590517
"Animal In Trap","11-03584737","Aug 12, 2011",2011,8,"5700 N MANTON AVE","Raccoon - Backyard",-87.7685115,41.9858919
"Animal In Trap","11-03593098","Aug 15, 2011",2011,8,"3600 S LAKE PARK AVE","Raccoon - Opossum - Backyard//////////cancel request",-87.607603,41.829856
"Animal In Trap","11-03612541","Aug 17, 2011",2011,8,"9200 S CLAREMONT AVE","Raccoon - Backyard",-87.6812464,41.7263106
"Animal In Trap","11-03630420","Aug 19, 2011",2011,8,"11000 S BELL AVE","Raccoon - Other family of raccoons in a garbage can trapped, morgan park baptist church",-87.6765371,41.694058
"Animal In Trap","11-03671471","Aug 26, 2011",2011,8,"8900 S WESTERN AVE","Raccoon    placed in alley",-87.6825028,41.7323922
"Animal In Trap","11-03679390","Aug 28, 2011",2011,8,"8200 S VERNON AVE","Garbage Can - Raccoon - Raccoon - Backyard and babies trapped",-87.6138361,41.7454982
"Animal In Trap","11-03681187","Aug 29, 2011",2011,8,"2600 W 104TH ST","Raccoon - Backyard",-87.6867618,41.7047431
"Animal In Trap","11-03687020","Aug 29, 2011",2011,8,"8200 S VERNON AVE","Raccoon - Other  animals in garbage cart in alley",-87.6138361,41.7454982
"Animal In Trap","11-03718233","Sep 03, 2011",2011,9,"1400 W HOLLYWOOD AVE","RACCOON LOCKED IN A DUMPSTER-CYNDEBLOCK IS ON TOP OF DUMPSTERS - Raccoon",-87.6651683,41.9856565
"Animal In Trap","11-03718691","Sep 03, 2011",2011,9,"9200 S WESTERN AVE","Raccoon - Other  inside  buisness  this is for  evergreen kia  dealer",-87.6855404,41.7246667
"Animal In Trap","11-03741695","Sep 07, 2011",2011,9,"7100 S BLACKSTONE AVE","3 OR MORE RaccoonS - Inside the House",-87.5885509,41.7659395
"Animal In Trap","11-03744902","Sep 07, 2011",2011,9,"1700 W 100TH PL","Raccoon - - Other IN THE FRONT YARD",-87.6649747,41.711394
"Animal In Trap","11-03745032","Sep 07, 2011",2011,9,"1700 W 100TH PL","Raccoon - Other..FRONT OF THE HOUSE",-87.6649747,41.711394
"Animal In Trap","11-03758324","Sep 09, 2011",2011,9,"12300 S PARNELL AVE","Raccoon - Backyard- ANIMAL IS TRAPPED INSIDE THE GARBAGE CART",-87.6356396,41.6706014
"Animal In Trap","11-03758500","Sep 09, 2011",2011,9,"300 S SEELEY AVE","Raccoon - Inside the House///// 3 raccoon opposum  plz help she is very sick",-87.6777558,41.8774682
"Animal In Trap","11-03758711","Sep 09, 2011",2011,9,"6700 S OGLESBY AVE","Raccoon - ANIMAL IS INSIDE A DUMPSTER LOCATED AT REAR OF ABOVE ADDRESS",-87.5687056,41.7731713
"Animal In Trap","11-03761671","Sep 10, 2011",2011,9,"5400 W THOMAS ST","Raccoon - Backyard",-87.7610536,41.9005895
"Animal In Trap","11-03762691","Sep 11, 2011",2011,9,"4900 S MICHIGAN AVE","Raccoon - Other-LOCATED INSIDE A DUMPSTER IN REAR",-87.6227359,41.8056256
"Animal In Trap","11-03763163","Sep 11, 2011",2011,9,"3000 W CULLERTON ST","Raccoon - OtherTHE ANIMAL IS TRAPPED IN A GARBAGE CART",-87.7005363,41.8547695
"Animal In Trap","11-03777728","Sep 13, 2011",2011,9,"5500 W FULLERTON AVE","Raccoon w/10 babies in plastic garbage cart in stadium---hanson stadium",-87.7637159,41.9242289
"Animal In Trap","11-03784582","Sep 14, 2011",2011,9,"8700 S HERMITAGE AVE","Raccoon - Backyard",-87.6667139,41.7356887
"Animal In Trap","11-03786319","Sep 14, 2011",2011,9,"8700 S HERMITAGE AVE","Raccoon - Backyard",-87.6667139,41.7356887
"Animal In Trap","11-03800795","Sep 16, 2011",2011,9,"0 E 99TH PL","Opossum - Inside the House

note:caller reports that there are large raccoons and opposums in the garage/garage is attatched to the house",-87.6134735,41.7140013
"Animal In Trap","11-03820365","Sep 21, 2011",2011,9,"5500 W WARWICK AVE","Raccoon - Side of House",-87.76459,41.948903
"Animal In Trap","11-03838570","Sep 23, 2011",2011,9,"3700 S PAULINA ST","Raccoon - Backyard  caller does have a permit.",-87.6681113,41.8266892
"Animal In Trap","11-03841958","Sep 24, 2011",2011,9,"4900 S MICHIGAN AVE","Raccoon - Other, TRAPPED INSIDE GARBAGE CART INSIDE THE  GATE,  CALL OR RING DOOR BELL",-87.6227359,41.8056256
"Animal In Trap","11-03842240","Sep 24, 2011",2011,9,"1900 W 33RD ST","Raccoon - Backyard",-87.6725881,41.8341656
"Animal In Trap","11-03848197","Sep 26, 2011",2011,9,"9200 S CLAREMONT AVE","Raccoon - Other-LOCKED INSIDE GARBAGE CART IN ALLEY-BEHIND GARAGE",-87.6812464,41.7263106
"Animal In Trap","11-03856149","Sep 27, 2011",2011,9,"500 E 44TH ST","3 RACCOONS INSIDE GARBAGE CART-",-87.6140282,41.8148529
"Animal In Trap","11-03867002","Sep 28, 2011",2011,9,"2200 W ADAMS ST","Raccoon or Opossum - Other - Trap dumped in the curblane animal trying to lift top of cage - per cllr no one knows who placed it there",-87.6815617,41.8786664
"Animal In Trap","11-03883633","Oct 01, 2011",2011,10,"7800 S INGLESIDE AVE","Raccoon - Other--INSIDE THE GARBAGE CARTS",-87.6016063,41.7531189
"Animal In Trap","11-03885118","Oct 02, 2011",2011,10,"10800 S CAMPBELL AVE","Raccoon - Backyard - yes there will be at home to give the trap to the trap officer",-87.6840963,41.6970837
"Animal In Trap","11-03889306","Oct 03, 2011",2011,10,"8000 S ARTESIAN AVE","Raccoon - Other - trapped inside a closed garbage cart - alley",-87.6842888,41.748101
"Animal In Trap","11-03906306","Oct 05, 2011",2011,10,"12700 S MUSKEGON AVE","Caller states that raccoon is in garbage cart, please check into this matter - Raccoon - Other",-87.5546885,41.6645088
"Animal In Trap","11-03909488","Oct 06, 2011",2011,10,"10400 S WOOD ST","Raccoon",-87.666154,41.704802
"Animal In Trap","11-03918096","Oct 07, 2011",2011,10,"7400 S MARYLAND AVE","Raccoon - Other     trapped inside the cart in the alley",-87.6043854,41.7603019
"Animal In Trap","11-03924398","Oct 10, 2011",2011,10,"400 W TREMONT ST","Raccoon - Inside the House - Pls call fro entry",-87.635648,41.792423
"Animal In Trap","11-03937314","Oct 12, 2011",2011,10,"9300 S CLYDE AVE","Raccoon - Other--INSIDE GARBAGE CART",-87.5729932,41.7261353
"Animal In Trap","11-03950054","Oct 14, 2011",2011,10,"7700 S UNION AVE","Raccoon - Bathroom",-87.642038,41.754145
"Animal In Trap","11-03986508","Oct 20, 2011",2011,10,"12700 S MUSKEGON AVE","Raccoon - Other - trapped in city black vinyl cart... in the alley",-87.5546885,41.6645088
"Animal In Trap","11-03995045","Oct 21, 2011",2011,10,"3300 N OTTAWA AVE","Raccoon - Backyard",-87.8181482,41.939769
"Animal In Trap","11-04033599","Oct 28, 2011",2011,10,"3000 N CLYBOURN AVE","Raccoon - Backyard",-87.683135,41.9358925
"Animal In Trap","11-04069892","Nov 04, 2011",2011,11,"3000 W 31ST ST","Raccoon - Other - Other",-87.7000123,41.8373246
"Animal In Trap","11-04115275","Nov 14, 2011",2011,11,"11700 S HALE AVE","Raccoon - Inside the House",-87.6730807,41.6808326
"Animal In Trap","11-04117781","Nov 14, 2011",2011,11,"11700 S HALE AVE","Raccoon - Inside the House Caller is a senior and has been waiting for a.c.c. all day. Please pick up asap!",-87.6730807,41.6808326
"Animal In Trap","11-04132015","Nov 16, 2011",2011,11,"400 E 87TH PL","Raccoon - Inside the House-85 year old senior with hypertension is extremely afraid.",-87.6143375,41.7358304
"Animal In Trap","11-04144203","Nov 18, 2011",2011,11,"1700 E 83RD ST","5 raccoons in attic - Raccoon - Inside the House",-87.5827,41.743591
"Animal In Trap","11-04144219","Nov 18, 2011",2011,11,"1700 E 83RD ST","5 raccoons in attic - Raccoon - Inside the House",-87.5827,41.743591
"Animal In Trap","11-04146542","Nov 19, 2011",2011,11,"11200 S LONGWOOD DR","Raccoon - Backyard - trapped in a city garbage cart... it cant get out .. has been in there for two days",-87.6726185,41.6897723
"Animal In Trap","11-04153980","Nov 21, 2011",2011,11,"2300 S LAWNDALE AVE","Raccoon - Side of House / 3 SMALL ANIMALS IN CAGE IN FRONT GANGWAY OF THIS ADDRESS - DUMPED AT ADDRESS - CALLER HAS NO IDEA HOW LONG ANIMALS HAVE BEEN THERE",-87.7176706,41.8496796
"Animal In Trap","11-04328052","Dec 31, 2011",2011,12,"600 E BOWEN AVE","Raccoon - Inside the House- CALLER WANTS A CALL ON ET TIME",-87.6115797,41.8196129
"Animal In Trap","11-04328115","Dec 31, 2011",2011,12,"600 E BOWEN AVE","Raccoon - Backyard",-87.6115797,41.8196129
"Animal In Trap","12-00104376","Jan 24, 2012",2012,1,"10300 S WOOD ST","Raccoon - Side of House pls call",-87.6671099,41.7066248
"Animal In Trap","12-00134330","Jan 31, 2012",2012,1,"11700 S BELL AVE","Raccoon - Other - RACCOON IN  A CAGE, ON THE ROOF OF GARAGE FOR 3 DAYS, BUILDING IS OCCUPIED.  CALLER UNSURE IF FAMILY IS AWARE THAT THEY CAUGHT THE RACCOON.",-87.677149,41.6807523
"Animal In Trap","12-00185532","Feb 10, 2012",2012,2,"9600 S HARVARD AVE","Raccoon - Inside the House

Constituent is a Senior who lives along and has racoons are coming through the attic and are in the walls. Needs for Animal Control to contact her.",-87.6322624,41.7197816
"Animal In Trap","12-00639185","Mar 20, 2012",2012,3,"11200 S KEDZIE AVE","Raccoon - Backyard",-87.7010766,41.689604
"Animal In Trap","12-00666038","Mar 25, 2012",2012,3,"2500 W 110TH PL","Raccoon - Backyard",-87.6838652,41.6928777
"Animal In Trap","12-00700296","Apr 01, 2012",2012,4,"7100 S MORGAN ST","THE TRAP IS IN THE BACK YARD BY THE STEPS AND HE WOULD LIKE ANOTHER TRAP TO TRY AND CATCH THE RACCOON - Opossum - Backyard     THEY WILL TRY TO HAVE SOMEONE THERE",-87.64961,41.7649649
"Animal In Trap","12-00718486","Apr 04, 2012",2012,4,"2500 W 82ND ST","Raccoon - Other",-87.6852311,41.7445941
"Animal In Trap","12-00731025","Apr 07, 2012",2012,4,"8100 S PAULINA ST","Raccoon - Backyard",-87.66612,41.746429
